#separator:tab
a	ar
I	ai
an	an
as	as
at	at
be	be
by	by
do	do
go	go
he	he
hi	hi
if	if
in	in
is	is
it	it
me	me
my	my
no	nx
of	of
OK	ok
on	on
or	or
so	so
to	to
up	up
us	us
we	we
add	ad
air	air
all	al
and	nd
any	ay
are	re
ask	ak
big	bi
boy	bo
but	bu
can	cn
car	cr
cut	cu
day	dy
eat	ea
end	ed
eye	ey
far	fa
few	fe
for	fr
get	ge
has	ha
her	hr
hey	hy
him	hm
how	hw
let	le
man	mn
may	ma
new	ne
not	nt
now	nw
off	ov
oil	oi
old	ol
one	oe
our	our
out	ou
own	ow
put	pt
run	ru
say	sy
sea	sea
see	se
set	st
she	sh
the	te
too	tu
try	tr
two	tw
use	ue
was	ws
way	wa
who	hu
why	wy
you	yu
also	ao
away	awy
back	bk
been	bn
book	bok
both	bh
call	cl
city	ct
come	cm
does	ds
down	dw
each	ec
even	ev
face	fae
fact	fk
feel	fl
feet	ft
find	fd
food	fod
form	frm
four	fur
from	fm
girl	gl
give	gi
good	gu
grow	gr
hand	hd
hard	hrd
have	hv
head	hed
hear	hea
help	hp
here	her
high	hg
hold	hod
home	ho
idea	ie
into	int
just	ju
keep	ke
kind	kd
know	kw
land	ln
last	lt
late	lat
lead	ld
left	lft
life	li
like	ike
line	lne
list	ls
live	lv
long	log
look	lk
make	mk
many	mny
mean	men
miss	mis
more	mr
most	mos
move	mv
much	mu
must	mst
name	nam
near	nr
need	ned
next	nxt
once	onc
only	onl
open	op
over	ovr
page	pe
part	par
plan	pla
play	ply
read	rd
real	rl
said	sed
same	sam
seem	sem
show	sho
side	sid
some	sm
song	sg
soon	sn
stop	sp
such	sc
take	tk
talk	tak
tell	tel
than	thn
that	tha
them	tm
then	the
they	thy
this	thi
time	tme
tree	tre
turn	trn
very	vy
walk	wl
want	wnt
week	wek
well	wel
went	wen
were	wr
what	wht
when	whn
will	wi
with	wit
word	wor
work	wrk
year	yr
about	ab
above	av
after	atr
again	ag
along	alg
begin	bg
being	beg
below	bw
carry	cy
child	ch
close	cls
early	ear
earth	eart
every	ery
first	fs
great	gre
group	gro
house	hoe
large	lge
learn	lrn
leave	lea
light	lig
might	mi
never	nv
night	nig
often	oft
order	ord
other	otr
paper	pa
place	pl
plant	plt
point	poi
right	ri
river	rv
since	sin
small	sal
sound	snd
spell	spl
stand	stn
start	str
state	ste
still	stl
story	sty
study	stu
their	tei
there	thr
these	ths
thing	thg
think	thk
those	tho
three	thre
under	un
until	ul
watch	ach
water	wtr
where	whr
which	whi
while	wil
white	wte
world	wrd
would	wou
write	wri
young	yng
almost	amo
always	aly
animal	ani
answer	ans
around	aro
become	bem
before	bef
change	che
course	cou
during	dur
enough	eno
family	fam
father	fat
follow	fol
govern	gov
letter	ltr
little	lit
mother	mtr
nation	nat
number	nbr
person	pn
public	pb
really	rly
school	sch
second	sec
should	shd
system	sym
against	agt
another	ano
because	bes
between	ben
country	cty
develop	dev
example	ex
general	gen
however	hvr
picture	pit
present	pre
problem	pro
program	prm
through	thu
without	wto
children	chi
consider	cns
increase	inc
interest	inr
mountain	mtn
possible	pos
sentence	sen
together	tog
different	dif
important	ip
something	smg
sometimes	sot
kubernetes	ku
function	fn
