the	t
and	a
you	y
was	w
for	f
are	r
his	h
one	o
had	
but	b
not	x
all	q
can	c
use	u	used	using
she	s
how	
out	
her	
him	
has	z
see	
way	
who	
oil	
its	i
now	n
day	d
did	
get	g
may	m
new	
our	
man	
say	
too	
old	
any	
boy	
set	
put	p
end	e
big	
why	
ask	k
men	
try	
off	
air	
add	
own	
eye	
saw	
few	
got	
run	
car	
sea	
eat	
far	
let	l
cut	
that	
with	
they	
this	
have	v	had
from	
word	
what	
were	
when	
your	
said	
each	
will	
many	
then	
them	
some	
make	
like	
into	
time	
look	
more	
than	
been	
call	
find	
long	
down	
come	
made	
part	
over	
take	
only	
work	
know	
year	
live	
back	
give	
most	
very	
just	j
name	
good	
help	
much	
line	
mean	
same	
tell	
came	
want	
show	
also	
form	
does	
well	
must	
even	
such	
turn	
here	
went	
read	
need	
land	
home	
move	
kind	
hand	
play	
away	
page	
high	
near	
food	
last	
keep	
tree	
city	
head	
left	
seem	
next	
hard	
open	
life	
both	
side	
feet	
mile	
walk	
grow	
took	
four	
once	
book	
hear	
stop	
miss	
idea	
face	
girl	
talk	
soon	
list	
song	
system	stm
there	
which	
their	
other	
about	
these	
would	
write	
number	
could	
people	
first	
water	
sound	
little	
place	
after	
thing	
sentence	
think	
great	
where	
through	
before	
right	
follow	
around	
three	
small	
another	
large	
because	
different	
picture	
again	
change	
spell	
animal	
house	
point	
letter	
mother	
answer	
found	
study	
still	
learn	
should	
America	
world	wor
every	
between	
below	
country	
plant	
school	
father	
never	
start	
earth	
light	
thought	
under	
story	
don’t	
while	
along	
might	
close	
something	
example	
begin	
always	
those	
paper	
together	
group	
often	
important	
until	
children	
night	
white	
began	
river	
carry	
state	
without	
second	
later	
enough	
watch	
Indian	
really	
almost	
above	
sometimes	
mountain	
young	
being	
leave	
family	
