chord	output	left modifier	right modifier
.,	←. ⇧		
h,	←,		
'.	←?		
'n	←n't		
'd	←'d		
's	←'s		
'l	←'ll		
'r	←'re		
'v	←'ve		
'm	←'m		
ng	←ing		
dan	Dane		
lip	Lipscombe		
emg	danelipscombe@gmail.com
emw	dane.lipscombe@planpay.com
ar	a		
ai	I		
an	an		
as	as		
at	at		
be	be		
by	by		
do	do	did	doing
go	go	went	going
he	he		
hi	hi		
if	if		
in	in		
is	is	was	will
it	it		its
me	me	mine	my
nx	no		
of	of		
ok	OK		
on	on		
or	or		
so	so		
to	to		
up	up		
us	us		
we	we		
ad	add	added	adding
air	air		
al	all		
nd	and		
ay	any		
re	are		
ak	ask		
bi	big		
bo	boy		
bu	but		
cn	can	could	
cr	car		
cu	cut		
dy	day		
ea	eat	ate	eating
ed	end		
ey	eye	eyed	eying
fa	far		
fe	few		
fr	for		
ge	get	got	getting
ha	has	had	
hr	her		hers
hy	hey		
hm	him		his
hw	how		
le	let		
mn	man		men
ma	may		
ne	new		
nt	not		
nw	now		
ov	off		
oi	oil		
ol	old		
oe	one		one's
our	our		ours
ou	out		
ow	own	owned	owning
pt	put		
ru	run	ran	running
sy	say		
sea	sea		
se	see	saw	seeing
st	set		
sh	she		
te	the		
tu	too		
tr	try	tried	trying
tw	two		
ue	use	used	using
wa	way		
hu	who		
wy	why		
yu	you	yours	your
ao	also		
awy	away		
bk	back		
bn	been		
bok	book	booked	booking
bh	both		
cl	call		
ct	city		
cm	come	came	coming
ds	does		
dw	down		
ec	each		
ev	even		
fae	face	faced	facing
fk	fact		
fl	feel	felt	feeling
ft	feet		
fd	find	found	finding
fod	food		
frm	form		
fur	four		
fm	from		
gl	girl		
gi	give	gave	giving
gu	good		
gr	grow	grew	growing
hd	hand	handed	handing
hrd	hard		
hv	have		
hed	head	headed	heading
hea	hear	heard	hearing
hp	help	helped	helping
her	here		
hg	high		
hod	hold	held	holding
ho	home		
ie	idea		
int	into		
js	just		
kp	keep	kept	keeping
kd	kind		
kw	know	knew	knowing
ln	land	landed	landing
lt	last		
lat	late	later	
ld	lead	led	leading
lft	left		
li	life		
ike	like	liked	liking
lne	line		
ls	list	listed	listing
lv	live	lived	living
log	long		
luc	look	looked	looking
mk	make	made	making
mny	many		
men	mean		
mis	miss	missed	missing
mo	more		
mos	most		
mv	move	moved	moving
mu	much		
mst	must		
nam	name		
nr	near	neared	nearing
ned	need	needed	needing
nxt	next		
onc	once		
onl	only		
op	open	opened	opening
ovr	over		
pe	page		
par	part		
pla	plan		
ply	play	played	playing
rd	read		
rl	real		
sed	said		
sam	same		
sem	seem	seemed	seeming
sho	show	showed	showing
sid	side		
sm	some		
sg	song		
sn	soon		
sp	stop	stopped	stoping
sc	such		
tk	take	took	taking
tak	talk		
tel	tell	told	telling
thn	than		
tha	that		
tm	them		
the	then		
thy	they	theirs	their
thi	this		
tme	time	timed	timing
tre	tree		
trn	turn		
vy	very		
wak	walk	walked	walking
wnt	want	wanted	wanting
wek	week		
wel	well		
wr	were		
wht	what		
whn	when		
wit	with		
wor	word		
wrk	work	worked	working
yr	year		
ab	about		
av	above		
atr	after		
ag	again		
alg	along		
bg	begin	began	beginning
beg	being		
bw	below		
cy	carry	carried	carrying
ch	child		children
cls	close	closed	closing
ear	early		
eart	earth		
ery	every		
fs	first		
gre	great		
gro	group	grouped	grouping
hoe	house		
lge	large		
lrn	learn	learnt	learning
lea	leave		
lig	light	lighted	lighting
mi	might		
nv	never		
nig	night		
oft	often		
ord	order		
otr	other		
pa	paper		
pl	place		
plt	plant	planted	planting
poi	point	pointed	pointing
ri	right		
rv	river		
sin	since		
sal	small		
snd	sound	sounded	sounding
spl	spell	spelled	spelling
stn	stand	stood	standing
str	start	started	starting
ste	state	stated	stating
stl	still		
sty	story		
stu	study	studied	studying
thr	there		
ths	these		
thg	thing		
th	think	thought	thinking
tho	those		
thre	three		
un	under		
ul	until		
ach	watch	watched	watching
wtr	water	watered	watering
whr	where		
whi	which		
wil	while		
wte	white		
wrd	world		
wou	would		
wri	write	wrote	writing
yng	young		
amo	almost		
aly	always		
ani	animal		
ans	answer	answered	answering
aro	around		
bem	become		
bef	before		
che	change	changed	changing
cou	course		
dur	during		
eno	enough		
fam	family		
fat	father	fathered	fathering
fol	follow	followed	following
gov	govern	governed	governing
ltr	letter		
lit	little		
mtr	mother	mothered	mothering
nat	nation		
nbr	number		
pn	person		people
pb	public		
rly	really		
sch	school		
sec	second		
shd	should		
sym	system		
agt	against		
ano	another		
bes	because		
ben	between		
cty	country		
dev	develop	developed	developing
ex	example		
gen	general		
hvr	however		
pit	picture	pictured	picturing
pre	present	presented	presenting
pro	problem		
prm	program	programmed	programming
thu	through		
wto	without		
cns	consider	considered	considering
inc	increase	increased	increasing
inr	interest	interested	interesting
mtn	mountain		
pos	possible		
sen	sentence		
tog	together		
dif	different		
ip	important		
smg	something		
sot	sometimes		
ku	kubernetes		
fn	function	functioned	functioning
qn	question	questioned	questioning
ty	thank you		
sby	somebody		somebody's
eby	everybody		everybody's
lw	low		
