I i
ah ah
am am
an an
as as
at at
be be
bi bi
by by
do do
ed ed
ex ex
go go
he he
hi hi
if if
in in
is is
it it
jo jo
lo lo
me me
my my
of of
oh oh
ok ok
or or
so so
to to
uh uh
um um
up up
us us
we we
the te
and ad
you yu
that th
was ws
for fr
are ae
with wh
his hs
they ty
one oe
have hv
this ts
from fm
had hd
hot hb
but bu
some se
what wt
there tr
can cn
out ou
other hr
were wr
all al
your yr
when wn
use ue
word wd
how ow
said sd
each ec
she sb
which wc
their er
time tm
will wl
way wy
about au
many mn
then tn
them hm
would wu
write wi
like le
these tc
her hc
long lg
make mk
thing tg
see sc
him im
two td
has hf
look lk
more mr
day dy
could cd
come cm
did di
sound sn
most ms
number nr
who wa
over ov
know kw
water ar
than hn
call cl
first ft
people pe
may ay
down dn
side ie
been bn
now ne
find fd
any ny
new nf
work rk
part pt
take tk
get ge
place pc
made md
live lv
where wb
after af
back bk
little lt
only oy
round rd
man mb
year ye
came ca
show sf
every ev
good gd
give gv
our ur
under ud
name ng
very vy
through tu
just jt
form om
much uc
great ga
think hk
say sy
help hp
low lb
line ln
before br
turn un
cause cb
same sg
mean mg
differ ir
move mv
right rg
boy bo
old ld
too tq
does dj
tell tv
sentence sj
set sk
three tx
want wf
air ai
well wg
also ao
play py
small sl
end ef
put pa
home hg
read rc
hand hq
port pr
large lr
spell sp
add ab
even vn
land lf
here hx
must mj
big bg
high ig
such sq
follow fb
act aj
why hy
ask ak
men ml
change cg
went wj
light li
kind kd
off oc
need nk
house hz
picture pi
try tz
again aq
animal av
point pn
mother mp
world wm
near nq
build ul
self sr
earth ej
father fc
head ek
stand sv
own oi
page pg
should sx
country cy
found fu
answer ax
school sz
grow gf
study ug
still ic
learn lj
plant pl
cover cv
food fj
sun ui
four fk
thought op
let lq
keep kp
eye eq
never vr
last lx
door dq
between bj
city iy
tree rj
cross cj
since ij
hard az
start rq
might mq
story oq
saw wp
far fp
sea ez
draw dv
left ly
late lz
run rx
don't dx
while wq
press pb
close ck
night nx
real rz
life ik
few fq
stop ox
open oz
seem mx
together gj
next nz
white wv
children cq
begin bq
got gk
walk wx
example xp
paper pj
often fv
always wz
music mz
both bv
mark kj
book bx
until uj
mile iq
river iv
car cx
feet fx
care cz
second dz
group gq
carry yf
took kq
rain ix
friend fz
began bz
idea iz
mountain uk
cut uq
sure uv
enough ux
plain pq
girl gx
usual uz
young yg
ready yj
above vj
ever vk
though gz
talk kx
body yk
family yq
pose pv
leave vq
product pz
black kz
question qj
size zj
early yx
five vx
six xj
travel vz
lay yz
box xq
