I i
I'll il
the t
and x
age ag
it's its
you u
that th
that's ths
was z
for f
are a
with w
his h
they ty
one o
have hv
this thi
from fm
had hd
hot ht
but b
some sm
what wh
there thr
can c
out ou
other ot
were wr
all al
your yor
when whe
use yu
word wor
how hw
said s
each e
she sh
which whi
their thei
time tm
will wi
way wa
about abt
many m
then thn
them thm
would wl
write wri
like l
these thes
her hr
long lng
make mk
thing thng
see se
him hm
two tw
has hs
look lk
more mo
day d
could co
come cm
did di
sound snd
most ms
number n
who hu
over ov
know k
water wt
than tha
call cl
first fi
people p
may mi
down dw
side sd
been bn
now nw
find fn
any ne
new nu
work wrk
part pr
take tk
get g
place pl
made md
live lv
where whr
after af
back bc
little ltl
only onl
round r
man mn
year yr
came cam
show sho
every ev
good gd
give gi
our oa
under und
name nm
very v
through thrg
just j
form fo
much mc
great gr
think tnk
say sa
help hl
low lw
line ln
before bf
turn tn
cause cs
same sam
mean mea
differ df
move mv
right ri
boy bo
old ol
too tu
does ds
tell te
sentence snt
set st
three thre
want wn
air ar
well wel
also als
play pla
small sma
end nd
put pu
home hom
read rdd
hand hn
port po
large lg
spell sp
add ad
even evn
land la
here hea
must mst
big bg
high hg
such su
follow fl
act ac
why y
ask ak
men mm
change ch
went wnt
light lig
kind kn
off ff
need ned
house hou
picture pc
try tr
again agn
animal anm
point pn
mother mt
world wrl
near nr
build bu
self sl
earth ea
father ftr
head hed
stand sta
own ow
page pg
should shl
country cn
found fnd
answer ans
school scl
grow gro
study stu
still sti
learn le
plant plt
cover cv
food fd
sun sn
four fr
thought thg
let lt
keep ke
eye ey
never nv
last ls
door dr
between bt
city ci
tree tre
cross crs
since sc
hard hrd
start str
might mg
story sto
saw sw
far fa
sea ss
draw dra
left lf
late lat
run ru
don't dt
while whl
press pre
close clo
night ni
real rl
life lif
few fw
stop stp
open opn
seem sem
together tg
next nx
white wht
children chl
begin bgn
got gt
walk wal
example exa
ease eas
paper pp
often ofte
always alw
music msc
those thos
both bth
mark mr
book bk
letter ltt
until unt
mile ml
river rv
car cr
feet ft
care ca
second scn
group grp
carry crr
took tok
rain ra
eat et
room ro
friend fri
began bega
idea ide
fish fs
mountain mou
north nrt
once onc
base bs
hear har
horse hor
cut cu
sure sr
watch wtc
color clr
face fc
wood wd
main mai
enough eno
plain pli
girl gir
usual usu
young yn
ready rdy
above abv
ever evr
red rd
list lst
though thgh
feel fel
talk tl
bird br
soon soo
body bdy
dog dg
family fam
direct dir
pose ps
leave leav
song sng
measure msr
state stt
product prd
black bl
short shr
numeral num
class cla
wind wnd
question q
happen hp
complete com
ship shi
area ara
half hal
rock rc
order ord
fire fir
south sth
problem prb
piece piec
told tol
knew kne
pass pss
farm frm
top tp
whole whol
king kng
size sz
heard hrrd
best bst
hour owa
better btr
true tru
during du
hundred hnd
remember rm
step ste
early erl
hold hol
west ws
ground grn
interest int
reach rea
fast fst
five fv
sing sig
listen lstn
six sx
table tb
travel tra
less lss
morning mrn
ten vv
simple smp
several sv
vowel vo
toward twr
war ww
lay ly
against agai
pattern pt
slow slo
center ce
love lov
person prs
money mny
serve srv
appear ap
road roa
map mp
science sci
rule rul
govern gv
pull pll
cold cld
notice nt
voice vc
fall fal
power pw
town twn
fine fin
certain cer
fly fy
unit uni
lead ld
cry cy
dark da
machine mch
note nte
wait wai
plan pln
figure fg
star sar
box bx
noun nn
field fld
rest rs
correct corr
able abl
pound pou
done dn
beauty bea
drive dri
stood std
contain cnt
front frn
teach tc
week wk
final fnl
gave ga
green gre
quick qu
develop dv
sleep sle
warm wrm
free fre
minute min
strong stro
special spe
mind mnd
behind bh
clear cle
tail tai
produce prdc
fact fac
street stre
inch inc
lot lo
nothing noth
course cou
stay sty
wheel whel
full fu
force frc
blue blu
object ob
decide dc
surface sur
deep dp
moon mon
island isl
foot foo
yet yt
busy bsy
test ts
record rcr
boat btt
common cmm
gold gl
possible pos
plane pne
dry dy
wonder wond
laugh lau
thousand thsn
ago ao
ran rn
check che
game gm
shape shp
yes ys
miss mss
brought brg
heat het
snow sno
bed bd
bring bri
sit si
perhaps prh
fill fll
east est
weight wg
language lan
among amo
