the th
and nd
you u
for fr
was ws
are r
that tht
with wth
they ty
have hv
this ths
from frm
had hd
not nt
but bt
what wt
can cn
all al
their thr
there thr
which wch
when wn
one 1
would wld
been bn
who wh
will wl
them thm
some sm
how hw
other othr
could cld
into int
than thn
then thn
now nw
like lk
your yr
its ts
over ovr
these ths
two 2
see s
more mr
time tm
use us
man mn
make mk
such sch
here hr
way wy
well wl
also als
any ny
must mst
home hm
even evn
many mny
back bk
after aftr
years yrs
want wt
where whr
those ths
most mst
people ppl
know knw
take tk
first 1st
work wrk
good gd
much mch
great grt
before bfr
day dy
same sm
right rgt
think thnk
our r
old old
find fnd
long lng
still stl
last lst
never nvr
give gv
while whl
another antr
place plc
put pt
new nw
under undr
get gt
every evry
own own
story stry
leave lv
end end
seem sm
few fw
try try
second 2nd
start strt
turn trn
help hlp
might mght
live lv
part prt
small sml
want wt
boy by
came cm
show shw
thought tht
house hs
form frm
air ar
hand hnd
end end
large lrg
set st
high hgh
group grp
young yng
important imprt
few fw
keep kp
side sd
large lrg
order ordr
through thru
must mst
head hd
light lgt
kind knd
city cty
country cntry
different dffrnt
once 1ce
mother mthr
away awy
father fthr
night ngt
car cr
enough ngh
close cls
during drng
indeed ndd
power pwr
along alng
voice vc
war wr
together tgr
both bth
form frm
round rnd
book bk
own own
family fmly
leave lv
water wtr
hold hld
run rn
turn trn
few fw
stand stnd
bear br
sense sns
seem sm
build bld
live lv
bring brng
lost lst
girl grl
always alwys
able abl
either thr
please plse
ever evr
side sd
nothing nthng
course crs
keep kp
next nxt
second 2nd
less ls
idea id
almost alms
pretty prty
leave lv
open opn
door dr
life lfe
until untl
foot ft
often oftn
once 1ce
white wht
water wtr
light lgt
enough ngh
begin bgn
start strt
might mght
walk wlk
present prsnt
until untl
though thgh
city cty
front frnt
without wtht
turn trn
learn lrn
plant plnt
cover cvr
food fd
sun sn
four 4
between btwn
state stt
keep kp
eye ey
never nvr
last lst
let lt
thought tht
farm frm
something smthg
few fw
mean mn
second 2nd
help hlp
turn trn
town twn
world wrld
near nr
show shw
live lv
tree tr
hard hrd
start strt
might mght
story stry
saw sw
left lft
late lte
run rn
don't dnt
while whl
press prss
close cls
real rl
night ngt
seem sm
father fthr
few fw
north nrth
open opn
stop stp
car cr
once 1ce
book bk
took tk
point pnt
tree tr
nothing nthng
begin bgn
idea id
fish fsh
work wrk
form frm
room rm
friend frnd
eat et
once 1ce
boy by
since snce
gone gn
body bdy
play ply
hear hr
cut ct
old old
still stl
too to
four 4
light lgt
being bng
family fmly
mother mthr
learn lrn
father fthr
toward twrd
anyone any1
again agn
house hs
country cntry
back bk
hold hld
part prt
