the t
and a
you y
that th
was w
for f
are ar
with wi
his h
they ty
one o
have ha
this ts
from fr
had hd
hot ho
but b
some s
what wh
there te
can c
out ou
other ot
were we
all al
your yo
when wn
use u
word wo
how how
said sa
each e
she sh
which whi
their tr
time ti
will wl
way wa
about ab
many m
then tn
them tm
would wd
write wr
like l
these the
her he
long lo
make ma
thing tg
see se
him hi
two tw
has has
look lk
more mo
day d
could co
come ce
did di
sound so
most ms
number n
who w'
over ov
know k
water wat
than tha
call ca
first fi
people p
may my
down do
side si
been be
now no
find fd
any an
new ne
work wk
part pa
take ta
get g
place pl
made me
live li
where whe
after af
back bk
little le
only nl
round r
man mn
year ye
came cm
show sw
every ev
good go
give gi
our or
under un
name nam
very v
through thr
just j
form fo
much mu
great gr
think tk
say sy
help hp
low low
line lin
before bf
turn tu
cause cs
same sam
mean mea
differ dr
move mv
right ri
boy bo
old ld
