the t
and a
you y
that th
was w
for f
are ar
with wi
his h
they the
one o
have ha
this thi
from fr
had had
hot ho
but b
some s
what wh
there ther
can c
out ou
other ot
were we
all al
your yo
when whe
use u
word wo
how how
said sa
each e
she sh
which whi
their thei
time ti
will wil
way wa
about ab
many m
then then
them them
would wou
write wr
like l
these thes
her he
long lo
make ma
thing thin
see se
him hi
two tw
has has
look loo
more mo
day d
could co
come com
did di
sound so
most mos
number n
who who
over ov
know k
water wat
than tha
call ca
first fi
people p
may may
down do
side si
been be
now no
find fin
any an
new ne
work wor
part pa
take ta
get g
place pl
made mad
live li
where wher
after af
back ba
little lit
only on
round r
man man
year ye
came cam
show sho
every ev
good go
give gi
our our
under un
name na
very v
through thr
just j
form fo
much mu
great gr
think think
say say
help hel
low low
line lin
before bef
turn tu
cause cau
same sam
mean me
differ dif
move mov
right ri
boy bo
old ol
too to
does doe
tell te
sentence sen
set set
three thre
want wan
air ai
well wel
also als
play pla
small sm
end en
put pu
home hom
read re
hand han
port po
large la
spell sp
add ad
even eve
land lan
here her
must mus
big bi
high hig
such su
follow fol
act ac
why why
ask as
men men
change ch
went wen
light lig
kind ki
off of
need nee
house hou
picture pi
try tr
again ag
animal ani
point poi
mother mot
world worl
near nea
build bu
self sel
earth ea
father fa
head hea
stand st
own ow
page pag
should shou
country cou
found fou
answer ans
school sc
grow gro
study stu
still sti
learn le
plant plan
cover cov
food foo
sun sun
four four
thought tho
let let
keep ke
eye ey
never nev
last las
door doo
between bet
city ci
tree tre
cross cr
since sin
hard har
start sta
might mi
story sto
saw saw
far far
sea sea
draw dr
left lef
late lat
run ru
don't don
while whil
press pr
close cl
night ni
real rea
life lif
few fe
stop stop
open op
seem see
together tog
next nex
white whit
children chi
begin beg
got got
walk wal
example ex
ease eas
paper pap
often oft
always alw
music musi
those thos
both bot
mark mar
book boo
letter lett
until unt
mile mil
river riv
car car
feet fee
care care
second sec
group grou
carry carr
took too
rain ra
eat eat
room ro
friend fri
began bega
idea i
fish fis
mountain mou
north nor
once onc
base bas
hear hear
horse hor
cut cu
sure sur
watch watc
color col
face fac
wood woo
main mai
enough eno
plain plai
girl gir
usual us
young you
ready read
above abo
ever ever
red red
list lis
though thou
feel feel
talk tal
bird bir
soon soo
body bod
dog dog
family fam
direct dir
pose pos
leave lea
song son
measure mea
state stat
product pro
black bl
short shor
numeral nu
class cla
wind win
question q
happen hap
complete comp
ship shi
area are
half hal
rock roc
order or
fire fir
south sou
problem prob
piece pie
told tol
knew kn
pass pas
farm farm
top top
whole whol
king kin
size siz
heard heard
best bes
hour hour
better bett
true tru
during du
hundred hu
remember rem
step ste
early ear
hold hol
west wes
ground groun
interest in
reach reac
fast fas
five fiv
sing sing
listen list
six six
table tab
travel tra
less les
morning mor
ten ten
simple sim
several sev
vowel vo
toward tow
war war
lay lay
against aga
pattern pat
slow sl
center ce
love lov
person pe
money mon
serve ser
appear ap
road roa
map map
science sci
rule rul
govern gov
pull pul
cold cold
notice not
voice voi
fall fal
power pow
town town
fine fine
certain cer
fly fl
unit uni
lead lead
cry cry
dark da
machine mac
note note
wait wai
plan plan
figure fig
star star
box box
noun nou
field fie
rest res
correct cor
able abl
pound pou
done done
beauty bea
drive dri
stood stoo
contain con
front fro
teach tea
week wee
final fina
gave ga
green gre
quick qu
develop de
sleep sle
warm warm
free fre
minute min
strong str
special spe
mind mind
behind beh
clear cle
tail tai
produce prod
fact fact
street stre
inch inc
lot lot
nothing noth
course cour
stay stay
wheel whee
full fu
force for
blue blu
object ob
decide dec
surface surf
deep dee
moon moo
island is
foot foot
yet yet
busy bus
test tes
record rec
boat boa
common comm
gold gol
possible poss
plane plane
age age
dry dry
wonder won
laugh lau
thousand thous
ago ago
ran ran
check che
game gam
shape sha
yes yes
hot hot
miss mis
brought br
heat heat
snow sn
bed bed
bring bri
sit sit
perhaps per
fill fil
east east
weight wei
language lang
among am
